id_dossier;montant_reglement;date_reglement;type_reglement
4793693;21.6;2019-05-31;VIRT
4793695;30;2019-06-25;"SOUS TRAITANT"
4793699;392;2018-03-30;"REGT CLIENT"
4793703;30;2018-01-30;"REGT CLIENT"
4793716;80;2018-04-18;CB
4793725;50;2018-03-30;CB
4793728;108.59;2019-05-31;VIRT
4793758;80;2019-04-08;PRLVT
4793765;50;2018-12-05;CB
4793767;82;2018-01-30;"REGT CLIENT"
4793802;1273.55;2018-03-30;"REGT CLIENT"
4793806;82;2018-01-30;"REGT CLIENT"
4793807;50;2018-03-30;"REGT CLIENT"
4793825;82.5;2019-05-31;"SOUS TRAITANT"
4793832;113.5;2018-03-30;"REGT CLIENT"
4793836;2668.04;2018-03-30;"REGT CLIENT"
4793870;100;2018-12-04;CB
4793875;30;2019-06-25;"SOUS TRAITANT"
4793876;1616.85;2018-10-09;VIRT
4793879;50;2019-04-18;CB
4793880;229.62;2018-11-29;"REGT CLIENT"
4793888;80;2018-04-04;CB
4793891;30;2018-06-06;CB
4793893;150;2018-10-19;VIRT
4793894;58.9;2018-06-07;CB
4793907;100;2018-04-12;CB
4793931;70;2019-05-31;VIRT
4793939;200.2;2018-12-11;VIRT
4793947;61.58;2018-01-30;"REGT CLIENT"
4793948;200;2019-01-07;CB
4793949;138.61;2018-12-04;CB
4793955;50;2018-05-02;VIRT
4793969;150;2018-07-24;CB
4793970;250;2018-04-02;CB
4793974;60;2018-05-29;CB
4793976;20;2018-04-09;PRLVT
4793980;50;2019-02-08;CHQ
4793982;60;2018-01-30;"REGT CLIENT"
4793987;858.1;2018-03-30;"REGT CLIENT"
4793988;20;2018-09-07;CB
4793991;50;2018-03-26;CB
4793992;30;2018-03-30;CB
4794016;500;2018-04-16;CB
4794024;2727.65;2019-05-31;VIRT
4794028;50;2018-04-03;CB
4794030;41;2018-01-30;"REGT CLIENT"
4794031;540;2018-01-30;"REGT CLIENT"
4794053;2402.07;2018-01-30;"REGT CLIENT"
4794056;90;2018-01-30;"REGT CLIENT"
4794057;5715.38;2018-01-31;"REGT CLIENT"
4794072;732.86;2018-03-30;"REGT CLIENT"
4794091;50;2019-01-18;CB
4794092;14.66;2019-02-21;CB
4794096;150;2018-06-25;CB
4794105;250;2019-01-14;CHQ
4794107;550;2018-07-30;"REGT CLIENT"
4794116;50;2018-07-23;CB
4794133;50;2018-07-16;CB
4794142;20;2018-08-09;VIRT
4794147;461.24;2018-03-30;"REGT CLIENT"
4794151;1480;2018-01-30;"REGT CLIENT"
4794169;50;2018-09-05;CB
4794199;20;2018-05-14;CB
4794208;17.4;2018-10-01;VIRT
4794212;113.58;2018-03-30;"REGT CLIENT"
4794216;331.91;2018-01-30;"REGT CLIENT"
4794230;10;2018-08-13;CB
4794252;49;2019-05-31;VIRT
4794257;500;2019-03-07;CB
4794265;50;2019-05-15;PRLVT
4794266;220;2018-08-07;CB
4794282;70;2019-01-07;PRLVT
4794294;50;2018-01-30;"REGT CLIENT"
4794296;43.8;2018-04-18;CB
4794310;70;2018-01-30;"REGT CLIENT"
4794314;50;2018-12-06;CB
4794321;15;2019-06-25;"SOUS TRAITANT"
4794323;20;2018-04-05;CB
4794379;30;2018-05-23;CB
4908081;36.2;2019-06-21;VIRT
4908082;20;2018-10-10;PRLVT
4908083;224.86;2019-07-09;VIRT
4908106;50;2018-12-07;CB
4908108;50;2018-07-31;CB
4908115;40;2018-12-11;CB
4908143;50;2018-11-12;CB
4908146;127.78;2019-06-26;VIRT
4908149;50;2018-10-29;CB
4908150;318.56;2019-07-03;VIRT
4908151;50;2019-02-12;CB
4908159;695;2018-07-03;CB
4908160;72.4;2019-07-15;VIRT
4908163;87.23;2019-05-06;PRLVT
4908174;36.2;2019-06-11;VIRT
4908177;72.8;2019-05-31;VIRT
4908180;20;2018-11-08;CB
4908181;100;2019-04-02;PRLVT
4908182;20;2018-08-09;CB
4908183;100;2018-06-27;CB
4908184;150;2019-05-07;CB
4908208;63.34;2019-06-04;VIRT
4908213;45.69;2019-06-13;VIRT
4908229;10;2018-07-11;CB
4908230;50;2018-06-27;CB
4908243;49.93;2019-02-05;CB
4908251;119.46;2019-06-13;VIRT
4908253;15;2018-06-27;"REGT CLIENT"
4908278;115.84;2019-06-25;VIRT
4908295;30;2019-02-21;CB
4908313;100;2018-09-24;VIRT
4908315;637.23;2019-03-12;VIRT
4908316;50;2018-09-12;VIRT
4908320;65.16;2019-07-17;VIRT
4908321;60;2018-09-18;VIRT
4908326;18.1;2019-05-29;VIRT
4908328;89.24;2019-07-11;VIRT
4908341;100;2019-04-18;CB
4908349;30;2019-01-17;CB
4908365;43.56;2018-06-27;"REGT CLIENT"
4908376;1089.82;2018-08-13;CB
4908387;133.22;2019-06-18;VIRT
4908388;50;2018-10-08;CB
4908400;177.54;2019-06-06;VIRT
4908401;655.23;2018-08-07;CB
4908403;50;2018-10-23;CB
4908437;30;2018-10-17;CB
4908459;250.1;2018-06-27;"REGT CLIENT"
4908468;50.17;2018-08-13;CB
4908493;60;2018-09-03;CB
4908527;68.06;2019-06-06;VIRT
4908571;120;2018-10-02;CB
4908587;145.47;2019-07-03;VIRT
4908604;50;2019-03-05;CB
4908615;12.25;2018-06-27;"REGT CLIENT"
4908628;974.21;2018-08-14;CB
4908652;15;2018-06-27;"REGT CLIENT"
4908654;20;2018-10-15;CHQ
4908660;30;2018-09-13;CB
4908672;30;2019-02-08;PRLVT
4908675;190.73;2019-06-07;VIRT
4908687;30;2018-11-07;CB
4908689;105.06;2018-07-18;CB
4908702;92.65;2019-06-10;PRLVT
4908706;200;2018-08-01;CB
4908732;30;2018-07-31;CB
4908740;50;2018-07-16;CB
4908742;56.94;2019-06-18;VIRT
4908760;15;2018-06-27;"REGT CLIENT"
4908774;20;2018-09-07;CB
4908794;166.52;2019-06-12;VIRT
4908807;36.2;2019-05-31;VIRT
4908825;32.92;2018-12-20;CB
4908826;101.66;2019-07-02;VIRT
4908828;50;2018-11-09;CB
4908849;50;2019-03-13;CB
4908884;10;2018-08-14;CB
4908922;25;2018-10-17;CB
4908925;20;2018-09-21;CB
4908926;100;2018-07-20;CB
4908934;10;2018-10-05;CB
4908936;10;2018-08-07;CB
4908955;45.99;2019-06-18;VIRT
4908956;76.89;2019-07-16;VIRT
4908958;36.2;2019-07-15;VIRT
4908972;100;2018-09-13;CB
4908979;10;2018-09-12;VIRT
4908982;10;2019-02-14;CB
4908987;18.75;2018-06-27;"REGT CLIENT"
4908988;305;2018-06-27;"REGT CLIENT"
4908997;20;2018-09-11;CB
4908999;2679.17;2018-06-28;VIRT
4909008;521.28;2019-06-25;VIRT
4909020;36.2;2019-06-25;VIRT
4909021;119.52;2018-06-27;"REGT CLIENT"
4909027;50;2018-08-07;PRLVT
4909042;26.11;2018-10-10;PRLVT
4909044;300;2018-07-26;CB
4909054;1342.7;2019-05-17;VIRT
4909055;100;2018-06-27;"REGT CLIENT"
4909065;147.82;2019-06-06;VIRT
4909079;50;2019-03-20;CB
4909084;20;2018-09-18;CB
4909085;500;2019-05-17;CB
4909086;10;2019-02-07;CB
4909089;20;2018-12-05;CB
4909098;779.08;2018-09-11;VIRT
4909106;30;2018-08-14;VIRT
4909113;34;2018-10-12;CB
4909117;60.4;2019-07-05;VIRT
4909161;225.63;2019-02-27;VIRT
4909162;29.98;2019-06-18;VIRT
4909166;36.2;2019-07-09;VIRT
4909169;66.6;2018-06-27;"REGT CLIENT"
4909172;270;2018-09-06;VIRT
4909175;2750;2019-01-31;VIRT
4909190;869.25;2018-11-19;VIRT
4909195;50;2018-08-31;CB
4909205;50;2018-08-10;VIRT
4909206;2606.43;2018-08-06;CHQ
4909208;144.8;2019-07-11;VIRT
4909209;1294.75;2018-11-02;CHQ
4909218;50;2018-08-13;CB
4909226;111.48;2019-06-12;VIRT
4909236;50;2018-08-06;CB
4909242;100;2019-02-11;CB
4909251;43.44;2019-06-18;VIRT
4909260;151.96;2019-06-12;VIRT
4909264;387.58;2018-07-26;CB
4909272;50;2018-09-18;CB
4909289;100;2018-12-17;PRLVT
4909304;15;2019-02-18;VIRT
4909309;1250.36;2018-06-28;CB
4909312;50;2019-06-03;PRLVT
4909316;200;2018-11-06;CB
4909332;60;2018-06-27;"REGT CLIENT"
4909333;661.31;2018-07-13;CB
4909334;29.4;2018-06-27;"REGT CLIENT"
4909356;50;2018-08-09;VIRT
4909374;20;2018-09-10;CB
4909394;74.65;2018-06-27;"REGT CLIENT"
4909395;57.69;2019-07-05;VIRT
4909402;50;2018-12-14;CB
4909415;499.56;2019-07-15;VIRT
4909428;1200;2019-04-11;CB
4909457;40;2018-08-02;CB
4909468;114;2018-06-27;"REGT CLIENT"
4909480;16.5;2018-06-27;"REGT CLIENT"
4909484;1030.55;2018-08-09;VIRT
4909492;30;2019-07-15;PRLVT
4909494;135.35;2019-06-28;VIRT
4909495;60;2018-10-29;CB
4909499;20;2019-06-05;PRLVT
4909500;36.2;2019-07-11;VIRT
4909534;212.05;2019-07-12;VIRT
4909536;196.07;2018-09-18;VIRT
4909537;20;2018-09-07;PRLVT
4909559;100;2018-11-22;CB
4909564;10;2018-12-21;CB
4909593;86.88;2019-06-21;VIRT
4909614;5;2018-09-13;CB
4909632;20;2018-09-06;CB
4909633;10;2018-07-25;CB
4909640;100;2018-09-21;CB
4909645;354.11;2018-07-24;CHQ
4909675;40;2018-09-17;PRLVT
4909686;800.83;2018-07-25;CB
4909721;850.27;2018-11-30;VIRT
4909723;14.48;2019-06-21;VIRT
4909726;30;2018-09-10;CB
4909728;50;2018-08-25;CHQ
4909735;100;2019-04-05;CB
4909744;100;2018-08-09;CB
4909759;2636.27;2018-07-27;CHQ
4909773;50;2018-08-13;VIRT
4909777;150;2019-05-30;PRLVT
4909803;288.44;2018-06-27;"REGT CLIENT"
4909806;5;2018-08-13;CB
4909813;200;2018-10-03;CB
4909832;50;2018-08-16;PRLVT
4909833;10;2018-10-09;CB
4909846;15.5;2018-06-27;"REGT CLIENT"
4909851;3.62;2019-06-28;VIRT
4909857;50;2018-08-07;CB
4909864;741.43;2018-07-02;VIRT
4909885;80;2019-01-29;CB
4909886;50;2018-09-17;PRLVT
4909920;21.3;2018-06-27;"REGT CLIENT"
4909929;50;2018-08-07;CB
4909945;20;2018-07-11;CHQ
4909967;30;2019-02-04;CB
4909996;49.33;2018-10-05;CB
4910022;30;2018-12-06;CB
4910026;1409.19;2018-08-30;VIRT
4910028;57.92;2019-06-19;VIRT
4910032;104.72;2018-11-05;CB
4910043;43.27;2019-06-18;VIRT
4910054;274.34;2018-11-12;CB
4910061;10;2018-07-31;CB
4910066;50;2019-01-18;CB
4910088;20;2018-08-10;CHQ
4910091;500;2018-09-07;VIRT
4910093;43.44;2019-06-14;VIRT
4910096;214.26;2018-06-27;"REGT CLIENT"
4910105;36.2;2019-06-21;VIRT
4910119;80;2019-04-02;CB
4910121;30;2018-09-14;CB
4910133;20;2019-03-11;PRLVT
4910161;58.64;2019-06-14;VIRT
4910177;83.31;2018-08-07;CB
4910182;60;2019-01-09;VIRT
4910184;71.84;2019-06-26;VIRT
4910187;99.94;2018-11-09;CB
4910201;30;2019-02-08;CB
4910213;30;2019-01-07;PRLVT
4910219;50;2018-08-13;CB
4910222;50;2018-09-07;PRLVT
4910232;50;2018-07-16;CB
4910243;20;2019-05-21;CB
4910276;200;2018-08-13;CB
4910279;80;2018-08-13;VIRT
4910281;219.81;2018-09-27;CB
4910312;17.75;2018-09-18;CB
4910317;10;2018-07-13;CB
4910346;60;2019-01-10;CB
4910356;30;2018-12-17;CB
4910366;30;2018-08-23;CHQ
4910369;20;2018-07-13;CB
4910403;20;2018-08-09;CB
4910412;30;2018-09-14;CB
4910427;47.19;2019-06-11;VIRT
4910439;70;2018-10-09;CB
4910450;50;2018-09-04;CB
4910462;500;2018-07-31;CB
4910466;78.01;2018-08-08;CB
4910491;672.64;2018-07-21;CB
4910492;50;2018-08-02;CB
4910495;20;2018-09-12;PRLVT
4910509;20;2018-07-16;VIRT
4910510;50;2019-06-04;VIRT
4910513;14.48;2019-06-21;VIRT
4910517;25;2018-08-14;CB
4910582;150;2018-06-27;"REGT CLIENT"
4910585;20;2018-09-07;PRLVT
4910597;10;2018-07-19;CB
4910604;20;2018-08-16;PRLVT
4910612;50;2018-11-09;CB
4910620;30;2019-01-07;PRLVT
4910651;40;2018-10-16;VIRT
4910653;50;2018-08-02;CB
4910654;50;2018-10-31;CB
4910674;213.58;2019-06-12;VIRT
4910681;1138.6;2018-06-27;"REGT CLIENT"
4910685;30;2018-08-10;CB
4910701;25.69;2018-07-12;CB
4910712;130;2019-05-20;PRLVT
4910716;72.4;2019-06-13;VIRT
4910738;908.69;2019-04-05;CB
4910740;30;2018-11-13;CB
4910751;20;2018-08-17;CB
4910761;22.37;2019-07-03;VIRT
4910771;105.44;2019-07-03;VIRT
4910779;0.25;2018-06-27;"REGT CLIENT"
4910786;52;2018-11-08;CB
4910803;30;2019-03-14;CB
4910805;885.98;2018-10-10;CB
4910808;65.56;2019-07-09;VIRT
4910820;10;2018-09-17;CB
4910823;24.13;2019-06-14;VIRT
4910859;50;2018-09-03;CB
4910863;94.12;2019-05-28;VIRT
4910870;100;2018-08-09;VIRT
4910879;50;2018-12-11;VIRT
4910887;10;2018-10-15;CB
4910888;1882.4;2019-06-06;VIRT
4910892;20;2018-08-20;CB
4910897;500;2018-08-01;CB
4910902;500;2018-11-09;CHQ
4910911;50;2018-10-15;CB
4910916;14.4;2018-06-27;"REGT CLIENT"
4910937;72.4;2019-05-31;VIRT
4910949;500;2019-02-08;CB
4910956;50;2018-08-17;VIRT
4910958;7.24;2019-06-21;VIRT
4910963;30;2018-08-08;CB
4910973;834.35;2018-07-05;CB
4910982;272.22;2019-06-28;VIRT
4910986;103.78;2019-07-08;VIRT
4910987;573.77;2019-01-18;CB
4910999;70;2018-09-11;VIRT
4911001;23.62;2018-06-27;"REGT CLIENT"
4911002;52.26;2018-06-27;"REGT CLIENT"
4911008;37.84;2019-07-02;VIRT
4911010;100;2019-01-14;PRLVT
4911034;242.29;2018-11-14;CB
4911037;45.61;2019-06-11;VIRT
4911055;36.2;2019-06-21;VIRT
4911061;50;2018-08-06;CB
4911070;10;2019-05-27;CB
4911084;3166.68;2019-04-12;CB
4911087;250.21;2019-07-16;VIRT
4911091;30;2018-08-06;CB
4911096;65.16;2019-06-21;VIRT
4911098;100;2018-07-16;CB
4911100;50;2018-11-26;CB
4911102;36.2;2019-06-21;VIRT
4911103;767.16;2018-09-03;CB
4911110;971.62;2019-03-08;CB
4911113;10.96;2018-06-27;"REGT CLIENT"
4911119;500;2018-06-27;"REGT CLIENT"
4911127;30;2018-08-08;PRLVT
4911133;500;2018-09-07;CB
4911139;30;2018-08-06;CB
4911171;50;2018-09-10;PRLVT
4911175;200;2018-10-08;CB
4911180;118.74;2019-07-09;VIRT
4911185;10;2019-01-15;CB
4911197;14.72;2018-06-27;"REGT CLIENT"
4911208;50;2018-08-04;CB
4911216;58.64;2019-06-13;VIRT
4911225;100;2018-08-01;CB
4911237;20;2018-09-14;CB
4911240;3.47;2018-06-27;"REGT CLIENT"
4911250;150;2019-01-17;CB
4911252;50;2018-10-03;VIRT
4911256;100;2018-08-20;CB
4911261;989;2019-06-28;VIRT
4911266;65.36;2018-08-08;CB
4911281;39.44;2018-07-11;CB
4911282;30;2018-10-12;CB
4911290;20;2019-01-17;CB
4911291;824.83;2018-08-17;CB
4911295;341.27;2018-11-29;CB
4911297;30;2018-09-14;CHQ
4911301;50;2018-08-21;CB
4911302;1231.82;2019-07-16;VIRT
4911306;1000;2019-05-24;CB
4911308;40;2018-08-08;CB
4911313;533.74;2018-06-27;"REGT CLIENT"
4911316;877.25;2018-06-27;"REGT CLIENT"
4911317;423.94;2018-06-27;"REGT CLIENT"
4911318;1167.64;2018-06-27;"REGT CLIENT"
4911321;710.59;2018-06-27;"REGT CLIENT"
4911322;1409.23;2018-06-27;"REGT CLIENT"
4911325;722.68;2018-06-27;"REGT CLIENT"
4911326;594.57;2018-06-27;"REGT CLIENT"
4911329;630.16;2018-06-27;"REGT CLIENT"
4911331;182.69;2018-06-27;"REGT CLIENT"
4911332;299.67;2018-06-27;"REGT CLIENT"
4911336;755.7;2018-06-27;"REGT CLIENT"
4911338;761.34;2018-06-27;"REGT CLIENT"
4911339;525;2018-06-27;"REGT CLIENT"
4911340;1159.34;2018-06-27;"REGT CLIENT"
4911343;645.35;2018-06-27;"REGT CLIENT"
4911344;816.82;2018-06-27;"REGT CLIENT"
4911347;179.14;2018-06-27;"REGT CLIENT"
4911349;991.46;2018-06-27;"REGT CLIENT"
4921530;998.11;2019-03-25;CB
4921543;100;2019-05-10;PRLVT
4921548;981.27;2019-04-12;CB
4921554;73.41;2018-08-13;CB
4921560;50;2018-09-03;CB
4921568;60;2018-08-10;CB
4921572;150;2018-08-28;CB
4921577;100;2019-01-22;VIRT
4921581;100;2018-09-10;CB
4921587;50;2019-02-27;CB
4921610;502.85;2019-01-25;CB
4921613;20;2018-12-07;CB
4921618;81.76;2019-01-04;CB
4921624;100;2019-06-05;PRLVT
4921639;10;2018-09-05;CB
4921655;1092.18;2019-01-21;CB
4921660;516.6;2018-08-22;CB
4921664;100;2018-08-13;CB
4921667;50;2018-11-06;CB
4921674;100;2018-09-14;CB
4921681;38.12;2018-08-21;CB
4921692;50;2018-08-07;PRLVT
4921696;2236.66;2019-03-01;VIRT
4921715;20;2019-03-07;CB
4921717;50;2018-11-05;CB
4921722;25;2018-09-17;CB
4921724;100;2018-09-14;CB
4921734;1100;2018-07-25;VIRT
4921748;60;2018-10-26;CB
4921785;30;2018-09-11;CB
4921791;10;2019-04-15;PRLVT
4921795;20;2018-09-12;CB
4921811;100;2018-08-01;CB
4921816;609.75;2019-01-04;VIRT
4921817;80;2019-03-07;CB
4921824;20;2018-09-07;CB
4921828;100;2019-02-14;CB
4921836;100;2019-06-06;CB
4921838;11.5;2018-07-30;VIRT
4921845;88.24;2018-07-24;CB
4921855;34.27;2018-08-07;CB
4921857;50;2018-09-06;CB
4921858;70;2018-08-20;CB
4921864;696.39;2019-02-26;CHQ
4921870;578.67;2018-12-24;CB
4921879;25;2019-02-05;CB
4921888;50;2018-07-25;CB
4921897;100;2018-08-13;PRLVT
4921905;10;2018-09-07;CB
4921908;38.78;2018-08-28;CB
4921912;1433.09;2018-08-27;VIRT
4921925;642.61;2019-06-05;CB
4921931;50;2019-02-14;CB
4921944;100;2018-10-04;CB
4921946;82.52;2018-07-30;VIRT
4921947;40;2018-11-14;CB
4921948;30;2018-09-19;CB
4921962;100;2018-08-16;CB
4921966;20;2018-09-06;CB
4921968;50;2018-11-30;CB
4921971;100;2018-08-16;PRLVT
4921977;400;2018-08-31;VIRT
4921985;50;2018-11-12;PRLVT
4921990;20;2018-08-16;CB
4921991;69.19;2018-12-17;CB
4921997;50;2018-08-02;CB
4922001;60;2018-10-10;CB
4922029;1114.1;2019-05-03;VIRT
4922030;50;2018-09-07;PRLVT
4922051;500;2018-11-19;VIRT
4922063;20;2018-08-17;CB
4922069;824.01;2018-12-21;CB
4922075;100;2018-10-24;CB
4922092;50;2019-06-13;CB
4922093;118.48;2018-07-30;VIRT
4922094;564.3;2019-01-31;CB
4922099;10;2018-08-30;CB
4922101;20.47;2018-08-07;CB
4922102;50;2018-10-09;VIRT
4922104;200;2018-08-13;PRLVT
4922108;609.54;2018-10-11;VIRT
4922118;50;2018-10-03;CB
4922130;100;2019-05-06;CB
4922132;150;2018-11-29;CB
4922141;674.61;2019-05-09;VIRT
4922149;82.06;2018-11-15;VIRT
4922157;80.89;2018-11-09;CB
4922161;100;2018-08-03;CB
4922166;20;2019-05-20;CB
4922169;50;2019-01-07;PRLVT
4922171;50;2018-09-10;CB
4922172;30;2018-09-17;CB
4922173;1012.21;2019-03-20;CHQ
4922174;50;2018-08-10;CB
4922183;1487.97;2018-12-05;CB
4922195;40;2019-05-14;CB
4922208;30;2018-08-07;CB
4922214;739.38;2019-04-29;CB
4922218;100;2019-06-05;VIRT
4922219;20;2018-09-24;CB
4922222;80;2019-06-11;CB
4922228;60;2019-07-01;PRLVT
4922230;75.79;2018-11-26;CB
4922232;75;2018-11-06;CB
4922240;50;2019-06-06;CB
4922244;300;2018-08-20;CB
4922272;40;2018-09-10;CB
4922278;250;2018-09-27;CB
4922281;100;2018-09-13;CB
4922283;70;2018-08-01;CB
4922292;30;2018-10-05;CB
4922301;558.77;2018-08-10;VIRT
4922313;1000;2018-08-03;VIRT
4922316;50;2018-08-06;CB
4922318;52.12;2019-03-26;CB
4922338;100;2019-04-30;CB
4922366;400;2018-09-04;CB
4922368;50;2018-09-14;CB
4922369;30;2018-08-07;CB
4922371;50;2018-09-04;CB
4922388;50;2018-07-30;CB
4922394;188.23;2019-03-18;CB
4922399;39.89;2018-07-30;VIRT
4922401;400;2019-01-22;CB
4922402;50;2018-07-30;CB
4922403;50;2018-09-25;CB
4922411;40;2019-07-12;VIRT
4922419;300;2018-09-03;CB
4929497;786.04;2018-07-30;VIRT
4929498;2388.98;2018-07-30;VIRT
4929499;659.28;2018-07-30;VIRT
4929500;756.98;2018-07-30;VIRT
4929501;2736.36;2018-07-30;VIRT
4929502;3932.79;2018-07-30;VIRT
4999560;50;2018-11-22;VIRT
4999572;125.62;2019-01-30;CB
4999574;20;2018-12-06;CB
4999588;117.34;2018-12-05;CB
4999594;185.44;2019-07-02;VIRT
4999596;136;2019-06-20;VIRT
4999598;150;2019-02-18;CB
4999602;322.82;2018-11-22;CB
4999604;50;2018-12-11;CB
4999610;273.98;2019-02-01;CB
4999622;203.06;2019-06-13;VIRT
4999647;66.85;2018-12-06;CB
4999667;123.71;2019-07-03;VIRT
4999676;200;2018-12-06;CB
4999688;767.19;2019-03-21;VIRT
4999711;425.71;2019-06-14;VIRT
4999715;150;2019-03-08;CB
4999760;71.16;2018-12-07;CB
4999769;50;2019-01-02;PRLVT
4999773;40;2019-02-12;CB
4999818;10;2018-12-05;CB
4999819;2.54;2018-11-08;CB
4999820;36.2;2019-06-21;VIRT
4999828;20;2019-03-04;CHQ
4999829;20;2019-03-05;OD
4999836;50;2018-12-17;CB
4999837;69.95;2018-11-13;CB
